EDUC_LEVEL,FAM_NO,AREA,WT_CROP,WT_IR_YN,WT_WA_CN_YN,WT_WA_RC,WT_GW,WT_PS,WT_SY_YN,WT_CR_YL_KG,WT_VL_CC,WT_SM_ST,WT_CP_NI_MN,SM_CROP,SM_IR_YN,SM_IR_WA_Y,SM_IR_TC,SM_GW,SM_PS,SM_CR_YL_KG,SM_CP_NI_MN,SM_VL_CC,SM_SM_ST,SM_RAIN_YN,CSM_AGR_YN,FL_USE,CR_RT_YN,SOIL_PROB,CA_YN,CA_CNS,CA_US_YN,CA_SS,CA_US_DT,CA_CC_VUL,CA_CC_RISK,CA_CC_ADAP,CA_CC_IMP,CA_CC_SS,NDVI_CV,PRECIPITAT,TEMPERATUR
no-schooling,8,2,Wheat,yes,no,Medium,80,Powdery Mildew (Disease),No,3400,Medium vulnerable,Medium,17500,Sorghum,Yes,Based on crop water need,No,80,PUNAISE,4300,21000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,48.27329348,106.4754235,1.938217597
primary,8,1,Barley,yes,no,Medium,90,Powdery Mildew (Disease),No,3500,Medium vulnerable,Medium,19000,Sorghum,Yes,Based on crop water need,No,90,PYRALE,3800,22000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,48.27329348,106.4754235,1.938217597
university,3,10,Rye,yes,yes,Medium,150,Henbit (Weed),Yes,3200,Medium vulnerable,Medium,13000,Maize,Yes,Based on crop water need,Yes,150,PYRALE,2200,15000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of knowledge,Yes,Summer,Often,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,41.21400963,121.8101259,1.468849063
no-schooling,5,1,Wheat,yes,no,Medium,85,Powdery Mildew (Disease),No,3200,Medium vulnerable,Medium,17500,Sorghum,Yes,Based on crop water need,No,85,PUNAISE,4200,23000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,47.77558418,106.4754235,1.938217597
primary,5,10,Barley,yes,yes,Medium,150,Henbit (Weed),Yes,2100,Medium vulnerable,Medium,13000,Maize,Yes,Based on crop water need,Yes,150,PUNAISE,1800,11000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,39.37927382,122.6164006,1.525684132
primary,3,4,Wheat,yes,yes,Medium,88,Rust (Disease),No,1100,Medium vulnerable,Medium,3500,Maize,Yes,Based on experience,Yes,88,pyrale,1200,5700,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,No finance,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Newspaper,33.53655968,107.9897385,1.716147006
no-schooling,10,2,Wheat,yes,no,Medium,80,Powdery Mildew (Disease),No,3000,Medium vulnerable,Medium,17000,Sorghum,Yes,Based on crop water need,No,90,ACARIENS,4500,21500,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,48.27329348,106.4754235,1.938217597
secondary,4,3,Barley,yes,yes,Medium,150,Henbit (Weed),Yes,2500,Medium vulnerable,Medium,15000,Maize,Yes,Based on crop water need,Yes,150,PUNAISE,2000,13000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of knowledge,Yes,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,39.00093375,122.6164006,1.525684132
no-schooling,7,3,Wheat,yes,yes,Medium,83,Leaf miners (Pest),Yes,1300,Medium vulnerable,Medium,6000,Maize,Yes,Based on experience,Yes,83,pyrale,1300,6500,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Extension agents,33.53655968,107.808559,1.797016376
no-schooling,10,4,Wheat,yes,no,Medium,80,Powdery Mildew (Disease),No,3200,Medium vulnerable,Medium,20000,Maize,Yes,Based on crop water need,No,80,PUNAISE,4300,23000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,44.43345391,106.4754235,1.938217597
primary,5,3,Wheat,yes,yes,Medium,100,Armyworms (Pest),Yes,1200,Medium vulnerable,Medium,5600,Maize,Yes,Based on qualitative guess,Yes,100,pyrale,1600,8000,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Extension agents,45.11050876,107.9897385,1.716147006
secondary,4,1,Lentil,yes,yes,Medium,150,Henbit (Weed),Yes,1000,Medium vulnerable,Medium,15000,Sorghum,Yes,Based on crop water need,Yes,150,FASORIOSE,3000,10000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of knowledge,Yes,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,38.78672142,123.3721577,1.506437497
no-schooling,4,1,Wheat,yes,no,Medium,90,Powdery Mildew (Disease),No,3200,Medium vulnerable,Medium,18000,Sorghum,Yes,Based on crop water need,No,90,PYRALE,3800,21500,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,48.27329348,106.4754235,1.938217597
secondary,1,5,Fababean,yes,yes,Medium,85,Armyworms (Pest),Yes,1800,Medium vulnerable,Medium,8000,Maize,Yes,Based on experience,Yes,85,pyrale,1500,6500,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Extension agents,32.28620669,107.808559,1.797016376
university,3,1,Barley,yes,yes,Medium,150,Henbit (Weed),Yes,2700,Medium vulnerable,Medium,17000,Sorghum,Yes,Based on crop water need,Yes,150,POURRITURE DES RACINES,3200,12000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of knowledge,Yes,Summer,Often,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,41.6769973,121.8101259,1.468849063
no-schooling,6,1,Wheat,yes,no,Medium,80,Powdery Mildew (Disease),No,3200,Medium vulnerable,Medium,20000,Sorghum,Yes,Based on crop water need,No,80,PUNAISE,4500,23000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Extension agents,47.77558418,106.4754235,1.938217597
primary,3,3,Lentil,yes,yes,Medium,80,Fusarium Wilt (Disease),Yes,1200,Medium vulnerable,Medium,6500,Maize,Yes,Based on experience,Yes,80,pyrale,1300,6000,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Newspaper,45.11050876,107.9897385,1.716147006
secondary,4,10,Wheat,yes,yes,Medium,150,Henbit (Weed),Yes,4000,Medium vulnerable,Medium,20000,Maize,Yes,Based on crop water need,Yes,150,PUNAISE,2000,13000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Often,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,36.08559611,122.526542,1.437726074
primary,2,3,Wheat,yes,yes,Medium,85,Cutworms (Pest),Yes,1500,Medium vulnerable,Medium,5000,Maize,Yes,Based on experience,Yes,85,pyrale,1200,6500,Medium vulnerable,Medium,No,Maybe,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,45.11050876,107.9897385,1.716147006
no-schooling,9,1,Wheat,yes,no,Medium,90,Powdery Mildew (Disease),No,2800,Medium vulnerable,Medium,19000,Sorghum,Yes,Based on crop water need,No,80,ACARIENS,4300,23000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Extension agents,41.18313872,106.4754235,1.938217597
university,4,5,Fababean,yes,yes,Medium,150,Henbit (Weed),Yes,1900,Medium vulnerable,Medium,15000,Maize,Yes,Based on crop water need,Yes,150,PUNAISE,2200,15000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of knowledge,Yes,Summer,Often,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,35.47168055,122.526542,1.437726074
primary,2,3,Wheat,yes,yes,Medium,80,Armyworms (Pest),No,1200,Medium vulnerable,Medium,5000,Sorghum,Yes,Based on experience,Yes,80,pyrale,1000,5000,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,Not profitable,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,48.08616829,107.9897385,1.716147006
no-schooling,12,2,Wheat,yes,no,Medium,85,Powdery Mildew (Disease),No,2600,Medium vulnerable,Medium,16500,Sorghum,Yes,Based on crop water need,No,85,PUNAISE,4200,23000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Extension agents,41.2708729,106.4754235,1.938217597
secondary,4,4,Fababean,yes,yes,Medium,150,Henbit (Weed),Yes,1700,Medium vulnerable,Medium,13000,Maize,Yes,Based on crop water need,Yes,150,PUNAISE,2000,13000,Highly vulnerable,Dry,Yes (Rarely),Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of knowledge,Yes,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,34.00720986,122.6164006,1.525684132
primary,3,3,Wheat,yes,yes,Medium,86,Leaf miners (Pest),Yes,1200,Medium vulnerable,Medium,5600,Maize,Yes,Based on experience,Yes,86,brulure,1200,6500,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Nothing,No,Lack of knowledge,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,From mosque,48.08616829,107.9897385,1.716147006
no-schooling,5,2,Wheat,yes,yes,Medium,85,Armyworms (Pest),No,650,Medium vulnerable,Medium,4200,Maize,Yes,Based on experience,Yes,85,punaise,1100,5600,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Extension agents,48.08616829,107.9897385,1.716147006
no-schooling,8,1,Wheat,yes,no,Medium,80,Powdery Mildew (Disease),No,2700,Medium vulnerable,Medium,17500,Sorghum,Yes,Based on crop water need,No,80,PUNAISE,4300,22500,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Extension agents,41.18313872,106.4754235,1.938217597
primary,4,2,Fababean,yes,yes,Medium,150,Henbit (Weed),Yes,1500,Medium vulnerable,Medium,11000,Maize,Yes,Based on crop water need,Yes,150,PUNAISE,1800,11000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of knowledge,Yes,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,34.51026455,123.3721577,1.506437497
no-schooling,10,1,Wheat,yes,no,Medium,90,Powdery Mildew (Disease),No,2800,Medium vulnerable,Medium,18000,Sorghum,Yes,Based on crop water need,No,80,PUNAISE,4300,23000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,42.39340748,106.4754235,1.938217597
primary,1,3,Wheat,yes,yes,Medium,100,Leaf miners (Pest),Yes,1000,Medium vulnerable,Medium,6500,Maize,Yes,Based on crop water need,Yes,100,pyale,1000,5000,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Extension agents,48.08616829,107.9897385,1.716147006
primary,3,2,Wheat,yes,yes,Medium,82,Leaf miners (Pest),No,1200,Medium vulnerable,Medium,5000,Maize,Yes,Based on experience,Yes,82,pyrale,1200,1500,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,46.58591808,107.9897385,1.716147006
secondary,5,5,Fababean,yes,yes,Medium,150,Henbit (Weed),Yes,1700,Medium vulnerable,Medium,13000,Maize,Yes,Based on crop water need,Yes,150,PUNAISE,2000,13000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of knowledge,Yes,Summer,Often,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,39.00093375,122.6164006,1.525684132
no-schooling,6,1,Wheat,yes,no,Medium,80,Powdery Mildew (Disease),No,3000,Medium vulnerable,Medium,17500,Sorghum,Yes,Based on crop water need,No,80,PUNAISE,4200,22500,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Extension agents,41.18313872,106.4754235,1.938217597
primary,3,4,Wheat,yes,yes,Medium,80,Rust (Disease),Yes,1200,Medium vulnerable,Medium,5200,Maize,Yes,Based on experience,Yes,80,pyrale,1200,6500,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Fallow,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Extension agents,46.58591808,107.9897385,1.716147006
primary,5,3,Rye,yes,yes,Medium,150,Henbit (Weed),Yes,2800,Medium vulnerable,Medium,9000,Maize,Yes,Based on crop water need,Yes,150,PUNAISE,1800,11000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of knowledge,Yes,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,40.76386565,122.526542,1.437726074
no-schooling,10,1,Wheat,yes,no,Medium,80,Powdery Mildew (Disease),No,2800,Medium vulnerable,Medium,17000,Sorghum,Yes,Based on crop water need,No,80,PUNAISE,4000,23000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Extension agents,46.37853217,106.4754235,1.938217597
primary,3,3,Wheat,yes,yes,Medium,100,Armyworms (Pest),No,800,Medium vulnerable,Medium,5600,Maize,Yes,Based on experience,Yes,100,pyrale,1300,6000,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Extension agents,46.58591808,107.9897385,1.716147006
university,4,2,Fababean,yes,yes,Medium,150,Henbit (Weed),Yes,1900,Medium vulnerable,Medium,15000,Maize,Yes,Based on crop water need,Yes,150,PYRALE,2200,15000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of knowledge,Yes,Summer,Often,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,38.78672142,123.3721577,1.506437497
no-schooling,10,2,Wheat,yes,no,Medium,80,Powdery Mildew (Disease),No,3100,Medium vulnerable,Medium,18000,Sorghum,Yes,Based on crop water need,No,80,PUNAISE,4300,23000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Extension agents,42.93732772,106.4754235,1.938217597
primary,3,2,Wheat,yes,yes,Medium,80,Armyworms (Pest),No,1200,Medium vulnerable,Medium,5600,Maize,Yes,Based on crop water need,Yes,80,pyrale,1400,6500,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,No finance,Maybe,Summer,Never,Low vulnerable,Drought,Improving irrigation practices,Physical damage,TV,45.42492463,107.9897385,1.716147006
no-schooling,7,4,Wheat,yes,no,Medium,80,Powdery Mildew (Disease),No,3200,Medium vulnerable,Medium,20500,Sorghum,Yes,Based on crop water need,No,80,PUNAISE,4300,23000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Extension agents,46.37853217,106.4754235,1.938217597
secondary,2,3,Fababean,yes,yes,Medium,86,Armyworms (Pest),No,2000,Medium vulnerable,Medium,10000,Maize,Yes,Based on experience,Yes,86,pyrale,1700,6500,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,From mosque,45.42492463,107.9897385,1.716147006
secondary,5,3,Fababean,yes,yes,Medium,150,Henbit (Weed),Yes,1700,Medium vulnerable,Medium,13000,Maize,Yes,Based on crop water need,Yes,150,PUNAISE,2000,13000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of knowledge,Yes,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,38.78672142,123.3721577,1.506437497
primary,3,2,Barley,yes,yes,Medium,100,Blight (Disease),Yes,1050,Medium vulnerable,Medium,5600,Sorghum,Yes,Based on experience,Yes,100,pyrale,1300,6500,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Extension agents,46.81348503,107.9897385,1.716147006
secondary,4,20,Chickpea,yes,yes,Medium,87,Wild Oats (Weed),No,15000,Medium vulnerable,Dry,196000,Maize,Yes,Based on crop water need,Yes,87,680,7000,36400,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,Through apps,25.33247235,100.6334429,2.489751661
secondary,4,2,Rye,yes,yes,Medium,150,Henbit (Weed),Yes,3000,Medium vulnerable,Medium,11000,Sorghum,Yes,Based on crop water need,Yes,150,FASORIOSE,3000,10000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of knowledge,Yes,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,39.34879268,122.6164006,1.525684132
primary,2,15,Wheat,yes,yes,Medium,89,Wild Oats (Weed),No,100,Medium vulnerable,Dry,25760,Maize,Yes,Based on crop water need,Yes,89,640,4000,19600,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,TV,25.66564402,100.6334429,2.489751661
primary,3,3,Wheat,yes,yes,Medium,100,Wild Oats (Weed),Yes,1000,Medium vulnerable,Medium,5600,Maize,Yes,Based on experience,Yes,100,pyrale,1200,5600,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,45.42492463,107.9897385,1.716147006
secondary,4,5,Fababean,yes,yes,Medium,150,Henbit (Weed),Yes,1700,Medium vulnerable,Medium,13000,Sorghum,Yes,Based on crop water need,Yes,150,FASORIOSE,3000,10000,Highly vulnerable,Dry,Yes (Rarely),Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of knowledge,Yes,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,42.30843759,121.8101259,1.468849063
primary,3,3,Wheat,yes,yes,Medium,80,Fusarium Wilt (Disease),No,980,Medium vulnerable,Medium,5600,Maize,Yes,Based on experience,Yes,100,pyrale,1200,5600,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,No finance,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Extension agents,53.02868245,107.9897385,1.716147006
secondary,5,15,Barley,yes,yes,Medium,90,Wild Oats (Weed),No,5000,Medium vulnerable,Dry,14700,Maize,Yes,Based on crop water need,Yes,90,600,7000,36400,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,TV,26.08747166,100.6334429,2.489751661
no-schooling,3,15,Lentil,yes,yes,Medium,94,Wild Oats (Weed),No,800,Medium vulnerable,Dry,7280,LYZERNE,Yes,Based on crop water need,Yes,94,390,2000,588000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No idea,Summer,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,TV,26.16257509,100.6334429,2.489751661
secondary,1,10,Barley,yes,yes,Medium,87,Wild Oats (Weed),No,5000,Medium vulnerable,Dry,14000,LYZERNE,Yes,Based on crop water need,Yes,87,Phytophthora,30000,1260000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,Through apps,26.11841945,100.6334429,2.489751661
no-schooling,8,20,Wheat,yes,no,Medium,80,Powdery Mildew (Disease),No,2900,Medium vulnerable,Medium,17500,Sorghum,Yes,Based on crop water need,No,80,PUNAISE,4500,24000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,44.10835887,106.4754235,1.938217597
primary,3,2,Wheat,yes,yes,Medium,85,Cutworms (Pest),Yes,1200,Medium vulnerable,Medium,6500,Maize,Yes,Based on experience,Yes,85,pyrale,1200,6200,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,No finance,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Extension agents,46.58591808,107.9897385,1.716147006
primary,2,10,Chickpea,yes,yes,Medium,89,Wild Oats (Weed),No,15000,Medium vulnerable,Dry,196000,Lyzerne,Yes,Based on crop water need,Yes,89,phytophthora,20000,588000,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,TV,23.16481067,100.6334429,2.489751661
university,4,2,Barley,yes,yes,Medium,160,Henbit (Weed),Yes,2700,Medium vulnerable,Medium,17000,Maize,Yes,Based on crop water need,Yes,160,PUNAISE,2200,15000,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of knowledge,Yes,Summer,Often,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,31.58234624,125.9541329,1.273017965
primary,3,2,Wheat,yes,yes,Medium,100,Leaf miners (Pest),No,600,Medium vulnerable,Medium,3500,Maize,Yes,Based on experience,Yes,100,punaise,1200,4500,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,TV,46.58591808,107.9897385,1.716147006
no-schooling,7,10,Wheat,yes,no,Medium,90,Powdery Mildew (Disease),No,2800,Medium vulnerable,Medium,17500,Sorghum,Yes,Based on crop water need,No,90,PYRALE,4000,22500,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,43.84055687,108.868147,1.92684007
no-schooling,4,2,Wheat,yes,yes,Medium,90,Wild Oats (Weed),No,100,Medium vulnerable,Dry,25760,Maize,Yes,Based on crop water need,Yes,90,Chenopode blanc,4000,19600,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No idea,Summer,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,TV,26.11841945,100.6334429,2.489751661
primary,3,2,Wheat,yes,yes,Medium,100,Powdery Mildew (Disease),No,1000,Medium vulnerable,Medium,6000,Maize,Yes,Based on experience,Yes,100,pyrale,1200,6300,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,TV,46.58591808,107.9897385,1.716147006
no-schooling,7,10,Barley,yes,no,Medium,85,Powdery Mildew (Disease),No,3000,Medium vulnerable,Medium,18000,OIGNON,Yes,Based on crop water need,No,85,PUNAISE,42000,110000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Extension agents,44.28816851,108.868147,1.92684007
primary,5,1,Fababean,yes,yes,Medium,160,Henbit (Weed),Yes,1500,Medium vulnerable,Medium,11000,Maize,Yes,Based on crop water need,Yes,160,PUNAISE,1800,11000,Highly vulnerable,Medium,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of knowledge,Yes,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Dust,Through apps,26.47345155,125.9541329,1.273017965
primary,3,2,Lentil,yes,yes,Medium,88,Rust (Disease),No,850,Medium vulnerable,Medium,6000,Maize,Yes,Based on experience,Yes,88,punaise,1200,4500,Medium vulnerable,Medium,No,Yes,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,Extension agents,46.58591808,107.9897385,1.716147006
secondary,5,3,Chickpea,yes,yes,Medium,95,Wild Oats (Weed),No,20000,Medium vulnerable,Dry,245000,Maize,Yes,Based on crop water need,Yes,95,pourpier,7000,36400,Highly vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Hardpan,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Drought-resistant varieties,Increased pests/diseases,TV,25.88947491,100.6334429,2.489751661
primary,6,2,Wheat,yes,no,Medium,80,Powdery Mildew (Disease),No,2600,Medium vulnerable,Medium,17500,Sorghum,Yes,Based on crop water need,No,80,PUNAISE,3800,22500,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,No finance,No idea,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,44.28816851,108.868147,1.92684007
primary,3,2,Wheat,yes,yes,Medium,90,Armyworms (Pest),No,1400,Medium vulnerable,Medium,5600,Maize,Yes,Based on experience,Yes,90,pyrale,1000,5000,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Winter,Never,Medium vulnerable,Drought,Improving irrigation practices,Physical damage,TV,47.59374395,107.9897385,1.716147006
